# 一行一条数据，# 开头的那行会被忽略
# 名称|描述|风险级别|参考|影响范围|一级分类名称|二级分类名称|漏洞示例代码|漏洞POC|修复方案|修复代码示例|修复配置示例|暂无
# 最后一列为漏洞对应的插件，没有对应的插件则写暂无
# 有插件，则填写实际的插件名字，多个插件 : 号分割（英文冒号）
# 以下为实际数据

默认信息|默认信息描述|信息|默认信息参考|默认信息影响范围|默认|默认|默认信息漏洞示例代码|默认信息漏洞POC|默认信息修复方案|默认信息修复代码示例|默认信息修复配置示例|暂无
默认低危|默认低危描述|低危|默认低危参考|默认低危影响范围|默认|默认|默认低危漏洞示例代码|默认低危漏洞POC|默认低危修复方案|默认低危修复代码示例|默认低危修复配置示例|暂无
默认中危|默认中危描述|中危|默认中危参考|默认中危影响范围|默认|默认|默认中危漏洞示例代码|默认中危漏洞POC|默认中危修复方案|默认中危修复代码示例|默认中危修复配置示例|暂无
默认高危|默认高危描述|高危|默认高危参考|默认高危影响范围|默认|默认|默认高危漏洞示例代码|默认高危漏洞POC|默认高危修复方案|默认高危修复代码示例|默认高危修复配置示例|暂无
默认严重|默认严重描述|严重|默认严重参考|默认严重影响范围|默认|默认|默认严重漏洞示例代码|默认严重漏洞POC|默认严重修复方案|默认严重修复代码示例|默认严重修复配置示例|暂无
默认致命|默认致命描述|致命|默认致命参考|默认致命影响范围|默认|默认|默认致命漏洞示例代码|默认致命漏洞POC|默认致命修复方案|默认致命修复代码示例|默认致命修复配置示例|暂无
Redis弱密码/未授权访问|Redis因配置不当未授权访问或密码较弱，可执行info命令。攻击者可以访问到内部数据，可导致敏感信息泄露，也可以执行flushall来清空所有数据。如果Redis以root身份运行，可以给root账户写入SSH公钥文件，直接通过SSH登录受害服务器|高危||所有redis版本|未授权访问|未授权访问|||1.设置redis只对本地开放，2.添加密码，3.配置防火墙，只对业务ip开放redis访问权限|||暂无
Memcached未授权访问|Memcache未设置访问权限，可以执行stats命令，攻击者可以获取敏感数据|中危||所有Memcache版本|未授权访问|未授权访问|||1.设置Memcache只对本地开放，2.编译时加上–enable-sasl，启用SASL认证，3.配置防火墙，只对业务ip开放Memcache访问权限|||暂无
FTP弱密码/未授权访问|ftp弱密码或因配置不当未授权访问，可能导致敏感信息泄露|中危||所有ftp版本|未授权访问|未授权访问|||1.添加密码，2.配置防火墙，只对业务ip开放ftp访问权限|||暂无
rsync未授权访问|rsync未设置访问权限，可以列举目录列表，可能导致敏感数据泄露，甚至上传脚本后门文件，远程命令执行|中危||所有rsync版本|未授权访问|未授权访问|||1.设置host allow限制允许访问主机的IP，2.设置read only将模块设置成只读，3.设置auth、secrets认证成功才能调用服务，4.设置list将模块隐藏|||暂无
SSH弱密码|ssh弱密码，可直接远程登录服务器，导致服务器被攻陷|严重||所有SSH版本|失效的身份认证|弱密码|||1.修改ssh密码，使密码符合公司密码复杂度要求，2.配置防火墙，只对业务ip开放ssh访问权限|||暂无
